state,county,tract,geoid,f_broadband,f_computer,f_ba,f_black,f_hispanic,log_mhi,mhi,population,households,broadband,computer,black,hispanic,mhi.1,ba,den_computers,n_computer,n_broadband,den_black,n_black,den_hispanic,n_hispanic,den_ba,n_ba,nhh_computer,nhh_broadband,nhh_computer_any_internet,nhh_computer_and_dialup,nhh_computer_and_broadband,nhh_computer_no_internet,nhh_no_computer,den_age,n_children,n_children_computer,n_children_computer_and_dialup,n_children_computer_and_broadband,n_children_computer_no_internet,n_children_no_computer,state_lkp
12,1,110800,12001110800,0.743,0.9159999999999999,0.61,0.138,0.08,11.03,61875.0,1972.0,890.0,74.3,91.6,13.8,8.0,61875.0,61.0,890.0,815.0,661.0,1972.0,273.0,1972.0,157.0,1584.0,966.0,815,661,815,0,661,154,75,1851,237,237,0,237,0,0,12
12,3,40101,12003040101,0.667,0.795,0.11800000000000001,0.129,0.006,11.08,64732.0,6852.0,2234.0,66.7,79.5,12.9,0.6,64732.0,11.8,2234.0,1776.0,1491.0,6852.0,882.0,6852.0,38.0,4805.0,568.0,1776,1491,1776,27,1483,266,458,6603,1485,1453,0,1217,236,32,12
12,3,40102,12003040102,0.8590000000000001,0.95,0.20600000000000002,0.099,0.036000000000000004,11.17,70747.0,7141.0,2398.0,85.9,95.0,9.9,3.6,70747.0,20.6,2398.0,2278.0,2060.0,7141.0,704.0,7141.0,254.0,5028.0,1035.0,2278,2060,2278,0,2060,218,120,6310,1699,1699,0,1656,43,0,12
12,3,40201,12003040201,0.769,0.878,0.067,0.263,0.039,10.93,55946.0,8181.0,2123.0,76.9,87.8,26.3,3.9,55946.0,6.7,2123.0,1863.0,1632.0,8181.0,2148.0,8181.0,323.0,5340.0,356.0,1863,1632,1863,16,1632,215,260,6400,1948,1948,0,1810,138,0,12
12,3,40202,12003040202,0.809,0.898,0.145,0.068,0.018000000000000002,11.0,60139.0,6037.0,1938.0,80.9,89.8,6.8,1.8,60139.0,14.5,1938.0,1740.0,1567.0,6037.0,413.0,6037.0,106.0,3892.0,566.0,1740,1567,1740,21,1543,176,198,6037,1601,1578,25,1379,174,23,12
12,5,201,12005000201,0.865,0.9059999999999999,0.147,0.003,0.011000000000000001,11.03,61932.0,4989.0,1785.0,86.5,90.6,0.3,1.1,61932.0,14.7,1785.0,1617.0,1544.0,4989.0,17.0,4989.0,55.0,3351.0,491.0,1617,1544,1617,12,1534,71,168,4989,1274,1260,0,1260,0,14,12
12,5,202,12005000202,0.807,0.888,0.163,0.008,0.062,11.07,64071.0,6168.0,2296.0,80.7,88.8,0.8,6.2,64071.0,16.3,2296.0,2039.0,1853.0,6168.0,52.0,6168.0,382.0,4506.0,735.0,2039,1853,2039,19,1810,210,257,6168,1185,1131,0,1004,127,54,12
12,5,300,12005000300,0.7879999999999999,0.9159999999999999,0.08800000000000001,0.015,0.045,10.71,44646.0,7650.0,2798.0,78.8,91.6,1.5,4.5,44646.0,8.8,2798.0,2562.0,2204.0,7650.0,116.0,7650.0,341.0,5560.0,487.0,2562,2204,2562,14,2204,344,236,7300,1579,1512,0,1434,78,67,12
12,5,400,12005000400,0.867,0.909,0.147,0.027999999999999997,0.03,11.01,60652.0,8790.0,3058.0,86.7,90.9,2.8,3.0,60652.0,14.7,3058.0,2781.0,2652.0,8790.0,246.0,8790.0,264.0,5962.0,876.0,2781,2652,2781,0,2636,145,277,8790,2310,2310,0,2310,0,0,12
12,5,500,12005000500,0.882,0.937,0.21100000000000002,0.163,0.091,11.2,72782.0,6630.0,2327.0,88.2,93.7,16.3,9.1,72782.0,21.1,2327.0,2180.0,2053.0,6630.0,1083.0,6630.0,602.0,4287.0,904.0,2180,2053,2180,15,2022,143,147,6323,1679,1679,0,1421,258,0,12
12,5,600,12005000600,0.894,0.968,0.36,0.0,0.057,11.13,68100.0,1386.0,680.0,89.4,96.8,0.0,5.7,68100.0,36.0,680.0,658.0,608.0,1386.0,0.0,1386.0,79.0,1232.0,444.0,658,608,658,0,597,61,22,1386,80,80,0,75,5,0,12
12,5,700,12005000700,0.972,0.986,0.53,0.155,0.177,11.07,64132.0,2779.0,641.0,97.2,98.6,15.5,17.7,64132.0,53.0,641.0,632.0,623.0,2779.0,430.0,2779.0,492.0,1132.0,600.0,632,623,632,0,614,18,9,2399,1082,1058,0,1058,0,24,12
12,5,803,12005000803,0.753,0.8490000000000001,0.062,0.205,0.12300000000000001,10.54,37979.0,6223.0,1955.0,75.3,84.9,20.5,12.3,37979.0,6.2,1955.0,1659.0,1473.0,6223.0,1276.0,6223.0,765.0,3792.0,234.0,1659,1473,1659,0,1473,186,296,6149,1546,1546,0,1504,42,0,12
12,5,804,12005000804,0.919,0.9570000000000001,0.212,0.196,0.040999999999999995,11.05,62645.0,1989.0,847.0,91.9,95.7,19.6,4.1,62645.0,21.2,847.0,811.0,778.0,1989.0,390.0,1989.0,82.0,1464.0,310.0,811,778,811,0,775,36,36,1989,398,398,0,398,0,0,12
12,5,805,12005000805,0.862,0.9009999999999999,0.096,0.16899999999999998,0.049,10.96,57321.0,4376.0,1794.0,86.2,90.1,16.9,4.9,57321.0,9.6,1794.0,1617.0,1546.0,4376.0,740.0,4376.0,213.0,3403.0,328.0,1617,1546,1617,9,1520,88,177,4376,626,626,0,626,0,0,12
12,5,806,12005000806,0.894,0.905,0.16,0.171,0.068,10.87,52711.0,3519.0,1278.0,89.4,90.5,17.1,6.8,52711.0,16.0,1278.0,1157.0,1143.0,3519.0,600.0,3519.0,240.0,2506.0,402.0,1157,1143,1157,0,1136,21,121,3519,817,789,0,789,0,28,12
12,5,900,12005000900,0.797,0.907,0.139,0.166,0.06,10.87,52759.0,4453.0,1708.0,79.7,90.7,16.6,6.0,52759.0,13.9,1708.0,1549.0,1361.0,4453.0,741.0,4453.0,267.0,3211.0,445.0,1549,1361,1549,0,1354,195,159,4447,938,784,0,784,0,154,12
12,5,1000,12005001000,0.69,0.716,0.086,0.327,0.08800000000000001,10.39,32500.0,2129.0,726.0,69.0,71.6,32.7,8.8,32500.0,8.6,726.0,520.0,501.0,2129.0,697.0,2129.0,188.0,1430.0,123.0,520,501,520,0,485,35,206,2096,475,422,0,294,128,53,12
12,5,1100,12005001100,0.718,0.8440000000000001,0.052000000000000005,0.342,0.085,10.59,39713.0,5138.0,1725.0,71.8,84.4,34.2,8.5,39713.0,5.2,1725.0,1456.0,1239.0,5138.0,1757.0,5138.0,436.0,3156.0,163.0,1456,1239,1456,0,1224,232,269,5130,1343,1317,0,1115,202,26,12
12,5,1200,12005001200,0.753,0.922,0.09,0.322,0.036000000000000004,10.6,40273.0,3350.0,1284.0,75.3,92.2,32.2,3.6,40273.0,9.0,1284.0,1184.0,967.0,3350.0,1080.0,3350.0,122.0,2334.0,211.0,1184,967,1184,0,967,217,100,3350,736,736,0,654,82,0,12
12,5,1301,12005001301,0.8959999999999999,0.943,0.358,0.141,0.038,11.24,76406.0,5419.0,1819.0,89.6,94.3,14.1,3.8,76406.0,35.8,1819.0,1715.0,1630.0,5419.0,763.0,5419.0,208.0,3576.0,1279.0,1715,1630,1715,0,1630,85,104,5310,1445,1445,0,1373,72,0,12
12,5,1302,12005001302,0.82,0.915,0.235,0.128,0.049,10.65,42267.0,6833.0,2786.0,82.0,91.5,12.8,4.9,42267.0,23.5,2786.0,2548.0,2285.0,6833.0,875.0,6833.0,332.0,4902.0,1153.0,2548,2285,2548,14,2220,314,238,6813,1609,1609,0,1438,171,0,12
12,5,1402,12005001402,0.95,0.9940000000000001,0.449,0.10099999999999999,0.042,11.29,80192.0,7443.0,2624.0,95.0,99.4,10.1,4.2,80192.0,44.9,2624.0,2608.0,2494.0,7443.0,751.0,7443.0,310.0,4980.0,2238.0,2608,2494,2608,0,2494,114,16,7435,1934,1934,0,1934,0,0,12
